image_id,outfit_id,filename,generation_timestamp,prompt,revised_prompt,evaluation_status
img_20250421_221714_0,outfit_20250421_221714,image_20250421_221714_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221714_1,outfit_20250421_221714,image_20250421_221714_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221749_0,outfit_20250421_221749,image_20250421_221749_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221749_1,outfit_20250421_221749,image_20250421_221749_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221650_0,outfit_20250421_221650,image_20250421_221650_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221650_1,outfit_20250421_221650,image_20250421_221650_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221737_0,outfit_20250421_221737,image_20250421_221737_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221737_1,outfit_20250421_221737,image_20250421_221737_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221639_0,outfit_20250421_221639,image_20250421_221639_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221639_1,outfit_20250421_221639,image_20250421_221639_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221702_0,outfit_20250421_221702,image_20250421_221702_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221702_1,outfit_20250421_221702,image_20250421_221702_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221627_0,outfit_20250421_221627,image_20250421_221627_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221627_1,outfit_20250421_221627,image_20250421_221627_1.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221725_0,outfit_20250421_221725,image_20250421_221725_0.jpg,2025-04-21 22:23:36,,,Generated
img_20250421_221725_1,outfit_20250421_221725,image_20250421_221725_1.jpg,2025-04-21 22:23:36,,,Generated
